Player Name,Score,Character,Vehicle,Glider,Tires
flc,94988,Orange Inkling Girl,Biddybuggy,Cloud Glider,Roller
Dragnir,106990,Dry Bowser,Streetle,Hylian Kite,Roller
Dragnir,106965,Dry Bowser,Streetle,Hylian Kite,Roller
Dread,87396,Wario,Standard Kart,Cloud Glider,Slim
Kevin,85942,Heavy Mii Fox,Biddybuggy,Plane Glider,Azure Roller
X treme,72459,Heavy Mii DK,Pipe Frame,Parachute,Azure Roller
flc,94831,Orange Inkling Girl,Biddybuggy,Cloud Glider,Roller
Ren,64845,Wario,W 25 Silver Arrow,Cloud Glider,Slim
Dread,75197,Wario,W 25 Silver Arrow,Cloud Glider,Slim
ぷれいやー,110150,Heavy Mii,Wild Wiggler,Waddle Wing,Roller
zono,103172,Dry Bowser,Comet,Parachute,Roller
ケケ,104950,Dry Bowser,Landship,Super Glider,Azure Roller
Thomus,89068,Morton,Blue Falcon,Hylian Kite,Slim
7step,106931,Morton,Biddybuggy,Paper Glider,Roller
Thurmos,107592,Wario,Wild Wiggler,Cloud Glider,Azure Roller
Chim,63749,Baby Daisy,Biddybuggy,Cloud Glider,Leaf Tires
Dragnir,106903,Dry Bowser,Streetle,Hylian Kite,Roller
TylerR,77999,Morton,Streetle,Super Glider,Azure Roller
TylerR,79785,Morton,Streetle,Cloud Glider,Azure Roller
Ren,64362,Wario,W 25 Silver Arrow,Cloud Glider,Slim
Ren,64524,Wario,W 25 Silver Arrow,Cloud Glider,Slim
Ren,64469,Wario,W 25 Silver Arrow,Cloud Glider,Slim
Peze,106886,Heavy Mii Crossing,Biddybuggy,Paper Glider,Azure Roller
FleeT,124036,Bowser,Splat Buggy,Super Glider,Slim
Shaun,123965,Heavy Mii,Splat Buggy,Super Glider,Slim
ぺんぎんさむらい,86071,Morton,Sport Bike,Super Glider,Slim
Peka,126259,Morton,Streetle,Plane Glider,Crimson Slim
X treme,78281,Dry Bowser,Pipe Frame,Cloud Glider,Roller
Thomus,89071,Morton,Blue Falcon,Hylian Kite,Slim
Shaun,122374,Heavy Mii,Sports Coupe,Plane Glider,Roller
Ti_C,47859,Daisy,Wild Wiggler,Parachute,Button
Kevin,79474,Heavy Mii,Biddybuggy,Plane Glider,Azure Roller
Bry,79364,Wario,Biddybuggy,Paper Glider,Azure Roller
Shaun,122245,Heavy Mii,Sports Coupe,Plane Glider,Roller
Alex94,103144,Wario,Comet,Parachute,Button
Shaun,122178,Heavy Mii,Sports Coupe,Plane Glider,Roller
Cynda,75389,Heavy Mii Varia,W 25 Silver Arrow,Cloud Glider,Slim
Thomus,88914,Morton,Blue Falcon,Hylian Kite,Slim
Mick,83929,Yoshi,Wild Wiggler,Parafoil,Slim
Mick,83579,Yoshi,Wild Wiggler,Parafoil,Slim
Mick,83159,Yoshi,Wild Wiggler,Parafoil,Slim
Mon,81435,Bowser,Mach 8,Paper Glider,Leaf Tires
Cole,89463,Roy,Yoshi Bike,Cloud Glider,Azure Roller
とれいん。,124615,Wario,Sports Coupe,Plane Glider,Leaf Tires
Jimmy,86597,Dry Bowser,Prancer,Super Glider,Azure Roller
Jimmy,86414,Dry Bowser,Pipe Frame,Super Glider,Azure Roller
Jimmy,86366,Dry Bowser,Pipe Frame,Super Glider,Azure Roller
Jimmy,86350,Dry Bowser,Pipe Frame,Super Glider,Azure Roller
Jimmy,86324,Dry Bowser,Pipe Frame,Super Glider,Azure Roller
Jimmy,86292,Dry Bowser,Pipe Frame,Super Glider,Azure Roller
Naoto,121206,Heavy Mii Hylian,Streetle,Parafoil,Roller
Shaun,122167,Heavy Mii,Sports Coupe,Plane Glider,Roller
Snowdog,83265,Roy,Wild Wiggler,Parachute,Azure Roller
Thurmos,107664,Wario,Wild Wiggler,Cloud Glider,Azure Roller
Ren,64313,Wario,W 25 Silver Arrow,Cloud Glider,Crimson Slim
FleeT,123863,Bowser,Splat Buggy,Super Glider,Slim
flc,94890,Orange Inkling Girl,Biddybuggy,Cloud Glider,Roller
flc,94825,Orange Inkling Girl,Biddybuggy,Cloud Glider,Roller
FleeT,118643,Roy,Sneeker,Super Glider,Roller
Ren,81967,Wario,Biddybuggy,Flower Glider,Azure Roller
とれいん。,124812,Wario,Sports Coupe,Plane Glider,Roller
Shaun,122046,Heavy Mii,Sports Coupe,Plane Glider,Roller
おまえモナー,79640,Green Inkling Girl,Biddybuggy,Paper Glider,Leaf Tires
Jimmy,83136,Roy,Wild Wiggler,Cloud Glider,Azure Roller
zono,103083,Dry Bowser,Comet,Parachute,Roller
FleeT,123906,Bowser,Splat Buggy,Super Glider,Slim
Shaun,122095,Heavy Mii,Sports Coupe,Plane Glider,Roller
Peze,106844,Dry Bowser,Biddybuggy,Paper Glider,Azure Roller
Peze,106806,Dry Bowser,Biddybuggy,Paper Glider,Azure Roller
Shaun,122072,Heavy Mii,Sports Coupe,Plane Glider,Roller
Joe,91582,Wario,Streetle,Cloud Glider,Roller
Jimmy,62916,Dry Bowser,Splat Buggy,Super Glider,Crimson Slim
Luigi_Fan2,86231,Waluigi,Pipe Frame,Super Glider,Roller
Kay,118853,Heavy Mii Crossing,Streetle,Paper Glider,Azure Roller
エル,110719,Wario,Splat Buggy,Wario Wing,Azure Roller
TylerR,85717,Morton,Biddybuggy,Cloud Glider,Azure Roller
エル,110711,Wario,Splat Buggy,Wario Wing,Azure Roller
Pyrax,103927,Roy,Biddybuggy,Cloud Glider,Leaf Tires
X treme,105833,Wario,Biddybuggy,Paper Glider,Azure Roller
Cole,89130,Roy,Yoshi Bike,Cloud Glider,Azure Roller
X treme,105737,Heavy Mii PAC-MAN,Biddybuggy,Paper Glider,Azure Roller
エル,110646,Wario,Splat Buggy,Wario Wing,Azure Roller
Ren,64286,Wario,W 25 Silver Arrow,Flower Glider,Crimson Slim
ケーべルト,116954,Wario,Streetle,Super Glider,Azure Roller
Finn,87846,Morton,Splat Buggy,Cloud Glider,Slim
Carson,86247,Dry Bowser,Streetle,Super Glider,Roller
Jimmy,62833,Dry Bowser,Splat Buggy,Super Glider,Crimson Slim
X treme,105652,Wario,Biddybuggy,MKTV Parafoil,Azure Roller
TylerR,85575,Dry Bowser,Biddybuggy,Cloud Glider,Azure Roller
Shaun,121830,Heavy Mii,Sports Coupe,Plane Glider,Roller
Suuya,110462,Wario,Yoshi Bike,Cloud Glider,Roller
あお,88985,Bowser,Pipe Frame,Super Glider,Roller
TylerR,79548,Morton,Streetle,Cloud Glider,Azure Roller
Davi,117323,Dry Bowser,Streetle,Super Glider,Azure Roller
X treme,105561,Waluigi,Biddybuggy,Paper Glider,Roller
X treme,105293,Waluigi,Biddybuggy,Paper Glider,Roller
Jimmy,86173,Donkey Kong,Pipe Frame,Super Glider,Azure Roller
7step,106736,Bowser,Biddybuggy,Paper Glider,Roller
おまえモナー,79515,Orange Inkling Girl,Biddybuggy,Paper Glider,Roller
Kay,121005,Heavy Mii Crossing,Splat Buggy,Super Glider,Azure Roller
Kevin,83131,Heavy Mii Mega Man,Biddybuggy,MKTV Parafoil,Azure Roller
Shaun,123819,Dry Bowser,Splat Buggy,Plane Glider,Slim
Chim,63163,Purple Inkling Boy,Biddybuggy,Cloud Glider,Leaf Tires
Jimmy,62733,Dry Bowser,Splat Buggy,Super Glider,Crimson Slim
Jimmy,63558,Dry Bowser,Blue Falcon,Super Glider,Crimson Slim
Ren,82668,Wario,Biddybuggy,Flower Glider,Azure Roller
Bry,79352,Wario,Biddybuggy,Peach Parasol,Azure Roller
starxlx,84712,Morton,Streetle,Cloud Glider,Azure Roller
X treme,103302,Donkey Kong,Biddybuggy,Parachute,Azure Roller
Thomus,88563,Morton,Blue Falcon,Hylian Kite,Crimson Slim
おまえモナー,79383,Pink Inkling Girl,Biddybuggy,Paper Glider,Azure Roller
Jujudut,105134,Roy,Streetle,Parachute,Azure Roller
Mattew,126047,Wario,Splat Buggy,Super Glider,Slim
Davi,117216,Dry Bowser,Streetle,Super Glider,Roller
Horse,60113,Wario,Blue Falcon,Waddle Wing,Crimson Slim
Jimmy,63449,Dry Bowser,Blue Falcon,Super Glider,Crimson Slim
Kevin,78627,Heavy Mii Yoshi,Pipe Frame,Parachute,Azure Roller
Mick,59348,Yoshi,Biddybuggy,Parachute,Azure Roller
Mick,59283,Yoshi,Biddybuggy,Parachute,Azure Roller
Mick,59036,Yoshi,Biddybuggy,Parachute,Azure Roller
Thomus,88731,Morton,Blue Falcon,Hylian Kite,Crimson Slim
Doodle,59029,Green Inkling Girl,Landship,Cloud Glider,Azure Roller
Thomus,88725,Morton,Blue Falcon,Hylian Kite,Crimson Slim
Darren,117221,Wario,Streetle,Parachute,Azure Roller
Cole,86043,Morton,Sport Bike,Super Glider,Slim
Cole,85902,Morton,Sport Bike,Super Glider,Slim
とれいん。,110385,Wario,Mach 8,Plane Glider,Leaf Tires
Thomus,88596,Morton,Blue Falcon,Hylian Kite,Crimson Slim
Thomus,88593,Morton,Blue Falcon,Hylian Kite,Crimson Slim
Kay,118707,Heavy Mii Crossing,Streetle,Paper Glider,Azure Roller
flc,94684,Orange Inkling Girl,Biddybuggy,Cloud Glider,Roller
Ren,83008,Wario,Biddybuggy,Flower Glider,Button
Thomus,88444,Morton,Blue Falcon,Hylian Kite,Crimson Slim
FleeT,111052,Dry Bowser,W 25 Silver Arrow,Cloud Glider,Roller
starxlx,91789,Morton,Streetle,Paper Glider,Azure Roller
Power,125998,Wario,Splat Buggy,Hylian Kite,Slim
Liar,104833,Dry Bowser,Landship,Super Glider,Roller
Shaun,125966,Morton,Splat Buggy,Hylian Kite,Slim
Shaun,125770,Morton,Splat Buggy,Hylian Kite,Slim
Shaun,125686,Morton,Splat Buggy,Hylian Kite,Slim
starxlx,85686,Roy,Streetle,Paper Glider,Azure Roller
Kevin,78445,Heavy Mii Yoshi,Pipe Frame,Parachute,Azure Roller
Kevin,78254,Heavy Mii Yoshi,Pipe Frame,Parachute,Azure Roller
Mick,58956,Yoshi,Biddybuggy,Parachute,Azure Roller
starxlx,85649,Roy,Streetle,Super Glider,Azure Roller
starxlx,85579,Roy,Streetle,Super Glider,Azure Roller
starxlx,85331,Roy,Streetle,Super Glider,Azure Roller
starxlx,85309,Roy,Streetle,Super Glider,Azure Roller
starxlx,85266,Roy,Streetle,Super Glider,Azure Roller
K4I,121746,Wario,W 25 Silver Arrow,Flower Glider,Azure Roller
Hemi,114212,Wario,Sports Coupe,Cloud Glider,Azure Roller
TylerR,85595,Dry Bowser,Biddybuggy,Cloud Glider,Azure Roller
Doodle,73269,Morton,Sport Bike,Super Glider,Slim
Demon,110344,Wario,Streetle,Super Glider,Azure Roller
Jimmy,84910,Roy,Streetle,Cloud Glider,Azure Roller
Kevin,85603,Heavy Mii,Biddybuggy,Plane Glider,Azure Roller
Vantox,116818,Dry Bowser,Wild Wiggler,Super Glider,Roller
Ren,82259,Wario,Biddybuggy,Flower Glider,Azure Roller
Kevin,78230,Heavy Mii Yoshi,Pipe Frame,Parachute,Azure Roller
Kins0,85541,Donkey Kong,Pipe Frame,Super Glider,Azure Roller
Jimmy,83117,Roy,Wild Wiggler,Cloud Glider,Azure Roller
とれいん。,110287,Wario,Mach 8,MKTV Parafoil,Leaf Tires
SuperFX,99443,Dry Bowser,Blue Falcon,Paper Glider,Azure Roller
Kevin,78017,Heavy Mii Yoshi,Pipe Frame,Parachute,Azure Roller
starxlx,85012,Roy,Streetle,Super Glider,Azure Roller
むし,105027,Roy,Biddybuggy,MKTV Parafoil,Roller
Dread,75145,Wario,W 25 Silver Arrow,Cloud Glider,Slim
Joe,91787,Wario,Streetle,Cloud Glider,Roller
Doodle,58898,Green Inkling Girl,Landship,Cloud Glider,Azure Roller
Doodle,58763,Green Inkling Girl,Landship,Cloud Glider,Azure Roller
Jimmy,82537,Dry Bowser,Mach 8,Cloud Glider,Crimson Slim
Luigi_Fan2,73302,Wario,Sport Bike,Super Glider,Slim
Doodle,73180,Morton,Sport Bike,Super Glider,Slim
Matt Beach,63365,Wario,Blue Falcon,Wario Wing,Slim
Snowdog,83006,Roy,Wild Wiggler,Cloud Glider,Azure Roller
Jimmy,82858,Roy,Wild Wiggler,Cloud Glider,Azure Roller
Rom,87831,Heavy Mii Crossing,Splat Buggy,Cloud Glider,Crimson Slim
Ren,82372,Wario,Biddybuggy,Flower Glider,Azure Roller
Ren,82174,Wario,Biddybuggy,Flower Glider,Azure Roller
むし,104708,Roy,Biddybuggy,MKTV Parafoil,Azure Roller
Anthony,47855,Daisy,Wild Wiggler,Waddle Wing,Button
Ren,81850,Wario,Biddybuggy,Flower Glider,Azure Roller
Rom,87819,Heavy Mii Crossing,Splat Buggy,Cloud Glider,Crimson Slim
Rom,87766,Heavy Mii Crossing,Splat Buggy,Cloud Glider,Crimson Slim
Xander,118532,Heavy Mii Pikmin,Streetle,Paper Glider,Azure Roller
となりん,111829,Wario,Sports Coupe,Paper Glider,Leaf Tires
むし,104592,Roy,Biddybuggy,Paper Glider,Azure Roller
K4I,110217,Wario,Mach 8,Cloud Glider,Leaf Tires
FleeT,111131,Dry Bowser,W 25 Silver Arrow,Cloud Glider,Roller
SuperFX,99163,Dry Bowser,Blue Falcon,Paper Glider,Azure Roller
Alex94,103059,Wario,Comet,Bowser Kite,Roller
Cole,102960,Dry Bowser,Comet,Parachute,Roller
Cole,102680,Dry Bowser,Comet,Parachute,Roller
Doodle,102932,Dry Bowser,Comet,Cloud Glider,Roller
Shaun,123863,Dry Bowser,Splat Buggy,Plane Glider,Slim
となりん,111886,Wario,Sports Coupe,Paper Glider,Leaf Tires
ぷれいやー,109898,Heavy Mii,Wild Wiggler,Waddle Wing,Roller
Shaun,123823,Dry Bowser,Splat Buggy,Plane Glider,Slim
Shaun,123756,Dry Bowser,Splat Buggy,Plane Glider,Slim
K4I,110319,Wario,Mach 8,MKTV Parafoil,Leaf Tires
starxlx,85065,Roy,Streetle,Super Glider,Azure Roller
Demon,110455,Wario,Streetle,Super Glider,Azure Roller
Xander,110376,Dry Bowser,Streetle,Super Glider,Azure Roller
ケーべルト,116811,Roy,Biddybuggy,Super Glider,Roller
SuperFX,99317,Dry Bowser,Blue Falcon,Paper Glider,Azure Roller
7step,106596,Bowser,Biddybuggy,Paper Glider,Roller
むし,104509,Roy,Biddybuggy,MKTV Parafoil,Azure Roller
starxlx,85006,Roy,Streetle,Super Glider,Azure Roller
Jimmy,63273,Dry Bowser,Blue Falcon,Super Glider,Crimson Slim
Peze,106495,Dry Bowser,Biddybuggy,Paper Glider,Azure Roller
TylerR,85688,Morton,Biddybuggy,Cloud Glider,Azure Roller
starxlx,84913,Roy,Streetle,Super Glider,Azure Roller
starxlx,84810,Roy,Streetle,Super Glider,Azure Roller
Dread,87742,Wario,Wild Wiggler,Cloud Glider,Slim
Dread,87616,Wario,Wild Wiggler,Cloud Glider,Slim
Kevin,77805,Heavy Mii Yoshi,Pipe Frame,Parachute,Azure Roller
Dread,87489,Wario,Standard Kart,Cloud Glider,Slim
Joe,91724,Wario,Streetle,Cloud Glider,Roller
Joe,91644,Wario,Streetle,Cloud Glider,Roller
Doodle,73030,Dry Bowser,Comet,Wario Wing,Roller
Sonder,83059,Koopa Troopa,Biddybuggy,Paper Glider,Azure Roller
あお,88731,Dry Bowser,Pipe Frame,Super Glider,Azure Roller
Kins0,85862,Waluigi,Pipe Frame,Waddle Wing,Azure Roller
ゆず,73120,Bowser,Comet,Plane Glider,Roller
Ren,81710,Wario,Biddybuggy,Flower Glider,Azure Roller
Anthony,47849,Daisy,Wild Wiggler,Waddle Wing,Button
Shaun,125594,Dry Bowser,Splat Buggy,Plane Glider,Slim
Ryan5,73051,Morton,Master Cycle,Plane Glider,Slim
むし,104429,Roy,Biddybuggy,MKTV Parafoil,Azure Roller
Ren,81682,Wario,Biddybuggy,Flower Glider,Azure Roller
Mick,82067,Yoshi,Biddybuggy,Cloud Glider,Azure Roller
Mattew,120928,Wario,Blue Falcon,Plane Glider,Azure Roller
TylerR,64125,Dry Bowser,W 25 Silver Arrow,Cloud Glider,Crimson Slim
flc,82711,Baby Daisy,Biddybuggy,Cloud Glider,Roller
むし,104410,Roy,Biddybuggy,Parachute,Roller
ゆず,72924,Dry Bowser,Comet,Wario Wing,Roller
Davi,117160,Dry Bowser,Streetle,Super Glider,Azure Roller
Ren,81551,Wario,Biddybuggy,Flower Glider,Azure Roller
ぺんぎんさむらい,85902,Morton,Sport Bike,Super Glider,Slim
Ren,81617,Wario,Biddybuggy,Flower Glider,Azure Roller
Ren,81481,Wario,Biddybuggy,Flower Glider,Azure Roller
FleeT,110961,Dry Bowser,W 25 Silver Arrow,Cloud Glider,Roller
Thurmos,107714,Wario,Wild Wiggler,Cloud Glider,Azure Roller
Thurmos,107541,Wario,Wild Wiggler,Cloud Glider,Azure Roller
Jimmy,74995,Dry Bowser,W 25 Silver Arrow,Cloud Glider,Crimson Slim
Thomus,88327,Morton,Blue Falcon,Gold Glider,Crimson Slim
Kamek,119417,Dry Bowser,Inkstriker,Super Glider,Roller
Cole,85717,Morton,Sport Bike,Super Glider,Slim
Demon,110310,Wario,Streetle,Super Glider,Azure Roller
X treme,109866,Dry Bowser,Mach 8,Gold Glider,Roller
Cole,117930,Roy,Yoshi Bike,Cloud Glider,Leaf Tires
Cole,117899,Roy,Yoshi Bike,Cloud Glider,Leaf Tires
Cole,117707,Roy,Yoshi Bike,Cloud Glider,Leaf Tires
ぺんぎんさむらい,85857,Morton,Sport Bike,Super Glider,Slim
Kamek,119377,Dry Bowser,Inkstriker,Super Glider,Roller
Mick,81978,Yoshi,Biddybuggy,Cloud Glider,Azure Roller
Mick,81970,Yoshi,Biddybuggy,Cloud Glider,Azure Roller
Mick,81668,Yoshi,Biddybuggy,Cloud Glider,Azure Roller
Mick,81063,Yoshi,Biddybuggy,Cloud Glider,Azure Roller
Darren,87328,Waluigi,Inkstriker,Super Glider,Slim
Doodle,82939,Koopa Troopa ,Biddybuggy,Cloud Glider,Azure Roller
Darky,47803,Gold Mario,Wild Wiggler,Flower Glider,Button
Carson,79049,Dry Bowser,W 25 Silver Arrow,Plane Glider,Azure Roller
ゆず,73026,Dry Bowser,Comet,Wario Wing,Roller
Doodle,72866,Dry Bowser,Comet,Plane Glider,Azure Roller
flc,82825,Baby Daisy,Biddybuggy,Cloud Glider,Roller
Anthony,47773,Blue Yoshi,Wild Wiggler,Super Glider,Button
flc,82430,Baby Daisy,Biddybuggy,Cloud Glider,Roller
starxlx,78616,Morton,Biddybuggy,Super Glider,Azure Roller
X treme,77562,Donkey Kong,Biddybuggy,Peach Parasol,Azure Roller
Jimmy,75048,Dry Bowser,W 25 Silver Arrow,Cloud Glider,Crimson Slim
Kins0,86911,Wario,Mach 8,Cloud Glider,Crimson Slim
starxlx,78450,Morton,Biddybuggy,Super Glider,Azure Roller
Bry,79172,Wario,Biddybuggy,Flower Glider,Azure Roller
Bry,79088,Wario,Biddybuggy,Cloud Glider,Azure Roller
Jimmy,86890,Dry Bowser,Mach 8,Cloud Glider,Crimson Slim
Darky,47768,Gold Mario,Wild Wiggler,Flower Glider,Button
Darky,47719,Gold Mario,Wild Wiggler,Flower Glider,Button
Mick,70195,Dry Bowser,Biddybuggy,Cloud Glider,Leaf Tires
John,84803,Roy,Streetle,Paper Glider,Roller
John,78400,Wario,Biddybuggy,Paper Glider,Roller
starxlx,78366,Morton,Biddybuggy,Super Glider,Azure Roller
Doodle,82411,Baby Peach,Biddybuggy,Peach Parasol,Roller
Bry,78967,Wario,Biddybuggy,Parachute,Azure Roller
Jimmy,62716,Dry Bowser,Splat Buggy,Super Glider,Crimson Slim
Anthony,47662,Blue Yoshi,Wild Wiggler,Super Glider,Button
Jimmy,62616,Dry Bowser,Splat Buggy,Super Glider,Crimson Slim
Luigi_Fan2,77873,Donkey Kong,Mr. Scooty,Cloud Glider,Roller
Luigi_Fan2,77688,Donkey Kong,Mr. Scooty,Cloud Glider,Roller
Tyler,107685,Wario,W 25 Silver Arrow,Paper Glider,Azure Roller
Kevin,112713,Heavy Mii Wario,Sports Coupe,Plane Glider,Crimson Slim
Peze,106466,Dry Bowser,Biddybuggy,Paper Glider,Azure Roller
とれいん。,110160,Wario,Mach 8,MKTV Parafoil,Leaf Tires
Shaun,112713,Heavy Mii,Sports Coupe,Plane Glider,Slim
Shaun,112688,Heavy Mii,Sports Coupe,Plane Glider,Slim
beat,123140,Dry Bowser,Sports Coupe,Plane Glider,Roller
むし,104226,Roy,Biddybuggy,Parachute,Roller
ケーべルト,116680,Roy,Biddybuggy,Super Glider,Roller
Shaun,112648,Heavy Mii,Sports Coupe,Plane Glider,Slim
Kay,120917,Heavy Mii Crossing,Splat Buggy,Paper Glider,Azure Roller
Peze,106567,Dry Bowser,Biddybuggy,Paper Glider,Azure Roller
Shaun,116667,Roy,Biddybuggy,Plane Glider,Roller
Ren,64071,Wario,W 25 Silver Arrow,Cloud Glider,Slim
Peze,106474,Dry Bowser,Biddybuggy,Paper Glider,Azure Roller
Thurmos,107486,Wario,Wild Wiggler,Cloud Glider,Azure Roller
Shaun,112631,Heavy Mii,Sports Coupe,Plane Glider,Slim
starxlx,78233,Morton,Biddybuggy,Super Glider,Azure Roller
Kevin,85317,Heavy Mii Bowser,Biddybuggy,Plane Glider,Azure Roller
starxlx,78116,Morton,Biddybuggy,Super Glider,Azure Roller
Mick,58607,Koopa Troopa,Pipe Frame,Cloud Glider,Azure Roller
TylerR,63973,Dry Bowser,W 25 Silver Arrow,Cloud Glider,Crimson Slim
Cole,107070,Wario,Sport Bike,Super Glider,Slim
Cole,106994,Wario,Sport Bike,Super Glider,Slim
Cole,106814,Wario,Sport Bike,Super Glider,Slim
Justice,60113,Dry Bowser,Jet Bike,Hylian Kite,Crimson Slim
Kamek,106870,Dry Bowser,Streetle,Hylian Kite,Roller
とれいん。,110145,Wario,Mach 8,MKTV Parafoil,Leaf Tires
flc,82227,Baby Daisy,Biddybuggy,Cloud Glider,Roller
X treme,104000,Roy,Biddybuggy,Cloud Glider,Leaf Tires
Kay,120868,Heavy Mii Crossing,Splat Buggy,Super Glider,Azure Roller
Mick,60074,Dry Bowser,Blue Falcon,Super Glider,Slim
Mick,59849,Dry Bowser,Blue Falcon,Super Glider,Slim
Kamek,106791,Dry Bowser,Streetle,Hylian Kite,Roller
Kamek,106589,Dry Bowser,Streetle,Hylian Kite,Roller
Demon,110251,Wario,Streetle,Super Glider,Azure Roller
X treme,105676,Roy,Biddybuggy,Cloud Glider,Leaf Tires
X treme,104723,Roy,Biddybuggy,Cloud Glider,Leaf Tires
X treme,104499,Roy,Biddybuggy,Cloud Glider,Leaf Tires
X treme,104116,Roy,Biddybuggy,Cloud Glider,Leaf Tires
K4I,103455,Waluigi,Biddybuggy,Cloud Glider,Leaf Tires
X treme,103942,Roy,Biddybuggy,Cloud Glider,Leaf Tires
X treme,103423,Roy,Biddybuggy,Cloud Glider,Leaf Tires
Siaru,106307,Roy,Biddybuggy,Hylian Kite,Leaf Tires
K4I,103389,Donkey Kong,Biddybuggy,Cloud Glider,Leaf Tires
ワリオさま,89395,Roy,W 25 Silver Arrow,Hylian Kite,Roller
Seboss,111768,Wario,Sports Coupe,Paper Glider,Leaf Tires
X treme,77475,Roy,Biddybuggy,MKTV Parafoil,Azure Roller
X treme,77245,Roy,Biddybuggy,Cloud Glider,Azure Roller
John,77966,Roy,Biddybuggy,Hylian Kite,Roller
Dread,79471,Wario,Streetle,Cloud Glider,Roller
Doodle,82192,Baby Peach,Biddybuggy,Peach Parasol,Roller
K4I,103342,Donkey Kong,Biddybuggy,Cloud Glider,Leaf Tires
Jimmy,85991,Dry Bowser,Streetle,Super Glider,Azure Roller
Stacy1199,89514,Waluigi,W 25 Silver Arrow,Super Glider,Blue Standard
Jimmy,86848,Dry Bowser,Mach 8,Cloud Glider,Crimson Slim
いたくら,116577,Roy,Biddybuggy,Super Glider,Azure Roller
K4I,103322,Donkey Kong,Biddybuggy,Cloud Glider,Leaf Tires
Shaun,116542,Roy,Biddybuggy,Plane Glider,Roller
X treme,103274,Roy,Biddybuggy,Cloud Glider,Leaf Tires
X treme,103143,Roy,Biddybuggy,Cloud Glider,Leaf Tires
K4I,103095,Waluigi,Biddybuggy,Cloud Glider,Leaf Tires
K4I,103084,Waluigi,Biddybuggy,Cloud Glider,Leaf Tires
Yui Funami,121741,Wario,W 25 Silver Arrow,Cloud Glider,Azure Roller
John,77616,Roy,Biddybuggy,Hylian Kite,Roller
K4I,102952,Waluigi,Biddybuggy,Cloud Glider,Leaf Tires
Shaun,112621,Heavy Mii,Sports Coupe,Plane Glider,Slim
starxlx,77966,Roy,Biddybuggy,Super Glider,Roller
starxlx,77783,Roy,Biddybuggy,Super Glider,Roller
starxlx,77750,Roy,Biddybuggy,Super Glider,Roller
TylerR,86140,Dry Bowser,Streetle,Super Glider,Roller
Demon,90453,Waluigi,Blue Falcon,Super Glider,Azure Roller
Demon,110304,Wario,Streetle,Super Glider,Azure Roller
Demon,90349,Waluigi,Blue Falcon,Super Glider,Azure Roller
Ren,63972,Wario,W 25 Silver Arrow,Cloud Glider,Slim
Ren,63930,Wario,W 25 Silver Arrow,Cloud Glider,Slim
Mattew,125559,Wario,Splat Buggy,Plane Glider,Slim
ゆず,72953,Morton,Master Cycle,Super Glider,Slim
Matt Beach,63238,Dry Bowser,Blue Falcon,Waddle Wing,Slim
Pyrax,111567,Dry Bowser,Sports Coupe,Paper Glider,Leaf Tires
Kevin,85147,Heavy Mii Bowser,Biddybuggy,Plane Glider,Azure Roller
Power,83921,Roy,Streetle,Cloud Glider,Roller
Ren,81260,Waluigi,Biddybuggy,Plane Glider,Azure Roller
Horse,59617,Wario,Blue Falcon,Waddle Wing,Crimson Slim
Bry,78356,Wario,Biddybuggy,Cloud Glider,Azure Roller
starxlx,79949,King Boo,Streetle,Cloud Glider,Roller
Shaun,125465,Dry Bowser,Splat Buggy,Plane Glider,Slim
Luigi_Fan2,57768,Wario,Mach 8,Cloud Glider,Slim
Pyrax,111761,Dry Bowser,Sports Coupe,Paper Glider,Leaf Tires
Horse,59845,Wario,Blue Falcon,Waddle Wing,Crimson Slim
みn,121737,Wario,W 25 Silver Arrow,Flower Glider,Azure Roller
Pyrax,111571,Dry Bowser,Sports Coupe,Paper Glider,Leaf Tires
Pyrax,111508,Dry Bowser,Sports Coupe,Paper Glider,Leaf Tires
Yui Funami,121717,Wario,W 25 Silver Arrow,Cloud Glider,Azure Roller
duel,114153,Wario,Sports Coupe,Super Glider,Roller
Leus,114725,Heavy Mii Varia,W 25 Silver Arrow,Hylian Kite,Azure Roller
ぷれいやー,109878,Heavy Mii,Wild Wiggler,Waddle Wing,Roller
Luigi_Fan2,57650,Wario,Mach 8,Cloud Glider,Slim
Mick,69980,Dry Bowser,Biddybuggy,Cloud Glider,Leaf Tires
Doodle,82130,Baby Peach,Biddybuggy,Peach Parasol,Roller
Lyte,107609,Heavy Mii,Sports Coupe,Paper Glider,Leaf Tires
ふゆいろ,74961,Wario,W 25 Silver Arrow,Paper Glider,Crimson Slim
ことちゃんすき,84546,Roy,Comet,MKTV Parafoil,Roller
Lyte,82502,Light-blue Yoshi,Streetle,Super Glider,Roller
FleeT,111101,Dry Bowser,W 25 Silver Arrow,Cloud Glider,Roller
FleeT,111036,Dry Bowser,W 25 Silver Arrow,Cloud Glider,Roller
FleeT,111022,Dry Bowser,W 25 Silver Arrow,Cloud Glider,Roller
Danny,123125,Bowser,Mach 8,Plane Glider,Roller
ぷれいやー,109835,Heavy Mii,Wild Wiggler,Waddle Wing,Roller
Kamek,111349,Dry Bowser,Sports Coupe,Super Glider,Leaf Tires
Tyler,114667,Morton,W 25 Silver Arrow,Super Glider,Azure Roller
Kamek,77345,Roy,Streetle,Cloud Glider,Roller
Demon,110243,Wario,Streetle,Super Glider,Azure Roller
