Player Name,Score,Character,Vehicle,Glider,Tires
Mattew,106565,Morton,Blue Falcon,Super Glider,Leaf Tires
Power,87597,Roy,Streetle,Super Glider,Roller
Mattew,86833,Morton,Blue Falcon,Super Glider,Slim
Mattew,86716,Morton,Blue Falcon,Super Glider,Slim
Mattew,86700,Morton,Blue Falcon,Super Glider,Slim
Thomas,110990,Morton,Mach 8,Super Glider,Leaf Tires
Mattew,107506,Morton,Blue Falcon,Cloud Glider,Azure Roller
Mick,93101,Dry Bowser,Streetle,Super Glider,Slim
Gumer,112813,Morton,Streetle,Super Glider,Slim
Gumer,112697,Morton,Streetle,Super Glider,Slim
Gumer,112590,Morton,Streetle,Super Glider,Slim
X treme,76740,King Boo,Streetle,Flower Glider,Roller
X treme,105552,Morton,Streetle,Flower Glider,Roller
Joel,109029,Dry Bowser,Streetle,Super Glider,Roller
Joel,108978,Dry Bowser,Streetle,Super Glider,Roller
Kevin,80747,Heavy Mii Sonic,Streetle,Parachute,Slim
X treme,76695,King Boo,Streetle,Flower Glider,Roller
Crazykonga,82642,Dry Bowser,Wild Wiggler,Super Glider,Wood
Tyler,82596,Morton,Comet,Super Glider,Slim
Joel,113109,Morton,Blue Falcon,Super Glider,Slim
Joel,112980,Morton,Blue Falcon,Super Glider,Slim
Mary,84718,Male Villager,Streetle,Cloud Glider,Roller
Crazykonga,102224,Dry Bowser,Wild Wiggler,Super Glider,Wood
K4I,87115,Dry Bowser,Splat Buggy,Super Glider,Slim
K4I,102560,Bowser,Blue Falcon,Super Glider,Slim
K4I,123370,Morton,W 25 Silver Arrow,Cloud Glider,Slim
Shaun,125565,Morton,Splat Buggy,Super Glider,Slim
Joel,108852,Dry Bowser,Streetle,Super Glider,Roller
Mattew,105296,Morton,Streetle,Cloud Glider,Azure Roller
Ren,65892,Bowser,Pipe Frame,Plane Glider,Slim
Shaun,125481,Morton,Splat Buggy,Super Glider,Slim
Fant's,63325,King Boo,Streetle,Peach Parasol,Roller
Joel,108433,Dry Bowser,Streetle,Super Glider,Azure Roller
Leroy,59502,Wario,Splat Buggy,Super Glider,Slim
Nim,87884,Bowser,Streetle,Super Glider,Slim
X treme,76000,King Boo,Streetle,Flower Glider,Roller
X treme,105211,Morton,Streetle,Flower Glider,Roller
Gumer,112544,Wario,Streetle,Super Glider,Standard
Tossy,102669,Wario,Splat Buggy,Super Glider,Slim
ゆゆゆ,116046,Wario,Sport Bike,Wario Wing,Slick
ゆうじ,119937,Donkey Kong,Sneeker,Wario Wing,Roller
Anthony,86519,Wario,Jet Bike,Hylian Kite,Slim
Limit,124467,Morton,W 25 Silver Arrow,Super Glider,Slim
John,91815,Wario,Streetle,Super Glider,Roller
Gumer,112452,Wario,Streetle,Super Glider,Standard
どqw,115823,Wario,Blue Falcon,Peach Parasol,Slim
Hobbie,87991,Orange Inkling Girl,W 25 Silver Arrow,Super Glider,Off-Road
John,85349,Wario,Streetle,Super Glider,Blue Standard
X treme,104905,Wario,Streetle,Flower Glider,Roller
John,88456,Wario,Streetle,Super Glider,Blue Standard
ぎぞく,121211,Dry Bowser,Streetle,Plane Glider,Slim
Alex,121211,Heavy Mii Varia,Streetle,Parachute,Slim
Ethan,112297,Wario,Streetle,Super Glider,Standard
Elpis,86465,Pink Yoshi,Streetle,Super Glider,Azure Roller
Elpis,109221,Wario,Streetle,Super Glider,Azure Roller
Crazykonga,122254,Dry Bowser,Wild Wiggler,Super Glider,Wood
Power,62876,Male Villager,Streetle,Super Glider,Slim
Power,85867,Roy,Streetle,Super Glider,Slim
Power,88242,Wario,Streetle,Super Glider,Standard
Ethan,112201,Wario,Streetle,Super Glider,Standard
Shaun,122182,Wario,Splat Buggy,Super Glider,Slim
Hobbie,87694,Orange Inkling Girl,Streetle,Super Glider,Roller
Ethan,112079,Wario,Streetle,Super Glider,Standard
Play,87648,Heavy Mii,Splat Buggy,Plane Glider,Slim
Ethan,111883,Wario,Streetle,Super Glider,Standard
Dragnir,83782,Bowser Jr.,Streetle,Super Glider,Roller
