3129,"Del","2017-04-28","SNES Donut Plains 3",64802,22,"USA","https://youtu.be/1cdYrXRArk4?si=qRpmB8Hz6cZIkDsl&t=411","4-1-0","1-1-1","Standard Kart","Button",0,"Super Glider",0,"Bowser Jr.","22.234","21.162","21.406",1,0,"","","","",200
3136,"Del","2017-04-28","Shy Guy Falls",97606,8,"USA","N/A","7-3-0","1-1-1","Standard Kart","Off-Road",0,"Super Glider",0,"Male Villager","34.540","31.727","31.339",1,0,"","","","",200
3145,"Del","2017-04-28","Thwomp Ruins",85806,4,"USA","N/A","8-2-0","1-1-1","Standard Kart","Off-Road",0,"Super Glider",0,"Morton","30.179","28.209","27.418",1,0,"","","","",200
3139,"パステル","2017-04-28","Water Park",105171,2,"Japan","N/A","10-0-0","1-1-1","Comet","Slim",0,"Super Glider",0,"Bowser","36.387","34.474","34.310",1,0,"","","","",150
3143,"Shadman","2017-04-28","3DS Music Park",96046,27,"USA","https://youtu.be/hMAeYq3_YvM?t=3186","2-5-2","1-1-1","Standard Kart","Standard",0,"Super Glider",0,"Mario","33.299","31.978","30.769",1,0,"","","","",200
3146,"Mattew","2017-04-28","Wild Woods",113149,43,"France","N/A","-","-","-","-",0,"-",0,"-","-","-","-",1,0,"","","","",150
3152,"ゆゆゆ","2017-04-28","Twisted Mansion",118616,7,"Japan","N/A","10-0-0","1-1-1","Sport Bike","Slim",0,"Wario Wing",1,"Bowser","40.869","38.776","38.971",1,0,"","","","",150
3160,"パステル","2017-04-28","Water Park",75664,2,"Japan","N/A","-","1-1-1","Comet","Slim",0,"Super Glider",0,"Bowser","26.225","25.009","24.430",1,0,"","","","",200
3166,"はたさこ","2017-04-28","Wii Grumble Volcano",120291,31,"Japan","N/A","-","-","-","-",0,"-",0,"-","-","-","-",1,0,"","","","",150
3167,"DestinyCst","2017-04-28","Super Bell Subway",81825,47,"Germany","N/A","-","-","-","-",0,"-",0,"-","-","-","-",1,0,"","","","",200
3173,"Mattew","2017-04-28","Super Bell Subway",106830,47,"France","N/A","-","-","-","-",0,"-",0,"-","-","-","-",1,0,"","","","",150
3338,"Del","2017-04-28","Wii Moo Moo Meadows",66603,17,"USA","N/A","8-2-0","1-1-1","Circuit Special","Standard",0,"Super Glider",0,"King Boo","23.457","21.373","21.773",1,0,"","","","",200
3331,"Issem","2017-04-28","DS Tick-Tock Clock",81756,29,"France","N/A","10-0-0","1-1-1","Pipe Frame","Slim",0,"Parachute",0,"King Boo","28.756","26.095","26.905",1,0,"","","","",200
3186,"Mattew","2017-04-28","Sunshine Airport",121726,9,"France","N/A","-","-","-","-",0,"-",0,"-","-","-","-",1,0,"","","","",150
3187,"DwayneP","2017-04-28","N64 Royal Raceway",92205,23,"Germany","N/A","9-1-0","1-1-1","Master Cycle","Leaf Tires",0,"Plane Glider",0,"Link","31.717","30.298","30.190",1,0,"","","","",200
3191,"Mattew","2017-04-28","GCN Dry Dry Desert",123103,21,"France","N/A","10-0-0","1-1-1","Blue Falcon","Button",0,"Super Glider",0,"Heavy Mii","42.428","40.465","40.210",1,0,"","","","",150
3194,"DestinyCst","2017-04-28","Wii Grumble Volcano",96688,31,"Germany","https://www.youtube.com/watch?v=kKYD6pKZLIY&feature=youtu.be","7-2-1","1-1-1","Blue Falcon","Cyber Slick",0,"Super Glider",0,"Rosalina","32.318","32.179","32.191",1,0,"","","","",200
3198,"Del","2017-04-28","Sweet Sweet Canyon",90612,3,"USA","N/A","6-4-0","1-1-1","Standard Kart","Off-Road",0,"Super Glider",0,"Morton","31.122","30.564","28.926",1,0,"","","","",200
3207,"KevinCst","2017-04-28","Toad Harbor",97465,6,"Germany","https://www.youtube.com/watch?v=x8BXBksAeP0","6-3-0","1-1-1","Circuit Special","Standard",0,"Super Glider",0,"Heavy Mii","33.286","32.374","31.805",1,0,"","","","",200
3209,"T • R","2017-04-28","Mute City",116850,36,"Japan","N/A","-","-","-","-",0,"-",0,"-","-","-","-",1,0,"","","","",150
3208,"Xander","2017-04-28","Toad Harbor",128533,6,"UK","https://www.openrec.tv/live/hGcNKD3VHDv","10-0-0","1-1-1","Splat Buggy","Slim",0,"Super Glider",0,"Morton","44.079","42.106","42.348",1,0,"","","","",150
3210,"Alexal","2017-04-28","Mute City",86888,36,"France","N/A","-","-","-","-",0,"-",0,"-","-","-","-",1,0,"","","","",200
